Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Castlevania - Circle of the Moon.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Castlevania - Harmony of Dissonance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Codename - Kids Next Door - Operation S.O.D.A..gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Crash Bandicoot - The Huge Adventure.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Crash Bandicoot Purple - Ripto's Rampage.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Crash Nitro Kart.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Crash of the Titans.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Cubix - Robots for Everyone - Clash 'N Bash.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Danny Phantom - The Ultimate Enemy.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Danny Phantom - Urban Jungle.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Donkey Kong - King of Swing.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Donkey Kong Country.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Donkey Kong Country 2.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Donkey Kong Country 3.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Earthworm Jim.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Earthworm Jim 2.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Ed, Edd n Eddy - Jawbreakers!.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Ed, Edd n Eddy - The Mis-Edventures.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Final Fantasy I & II - Dawn of Souls.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Final Fantasy IV Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Final Fantasy Tactics Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Final Fantasy V Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Final Fantasy VI Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Fire Emblem.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Fire Emblem - The Binding Blade.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Fire Emblem - The Sacred Stones.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Foster's Home for Imaginary Friends.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Frogger's Adventures - Temple of the Frog.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Frogger's Journey - The Forgotten Relic.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Gauntlet - Dark Legacy.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Golden Sun.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Golden Sun - The Lost Age.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Grim Adventures of Billy & Mandy.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Hamtaro - Ham-Ham Games.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Harvest Moon - Friends of Mineral Town.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Harvest Moon - More Friends of Mineral Town.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Jazz Jackrabbit.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Kingdom Hearts - Chain of Memories.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Legend of Zelda - The Minish Cap.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mario & Luigi - Superstar Saga.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mario Kart - Super Circuit.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Battle Chip Challenge.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Battle Network.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Battle Network 2.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Battle Network 3 - Blue Version.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Battle Network 3 - White Version.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Battle Network 4 - Blue Moon.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Battle Network 4 - Red Sun.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Battle Network 5 - Team Colonel.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Battle Network 5 - Team Protoman.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Battle Network 6 - Cybeast Gregar.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Zero 2.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Zero 3.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Zero 4.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Metal Slug Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Monster Rancher Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Monster Rancher Advance 2.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mother 3.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mr. Driller 2.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Ms. Pac-Man - Maze Madness.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Nicktoons - Attack of the Toybots.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Nicktoons - Battle for Volcano Island.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Nicktoons - Freeze Frame Frenzy.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Nicktoons Racing.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Nicktoons Unite!.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Oddworld - Munch's Oddysee.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Ozzy & Drix.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pocket Dogs.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pokemon - Emerald Version.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pokemon - FireRed Version.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pokemon - LeafGreen Version.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pokemon - Ruby Version.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Prince of Persia - The Sands of Time.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Rayman - 10th Anniversary.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Rayman - Hoodlum's Revenge.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Rayman - Raving Rabbids.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Rayman 3.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Rayman Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Rocket Power - Beach Bandits.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Rocket Power - Dream Scheme.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Samurai Jack - The Amulet of Time.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Sims 2.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Spyro - Attack of the Rhynocs.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Spyro - Season of Ice.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Spyro 2 - Season of Flame.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Spyro Orange - The Cortex Conspiracy.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Summon Night - Swordcraft Story 2.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Super Mario Advance.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Super Mario Advance 3 - Yoshi's Island.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Super Monkey Ball Jr..gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Super Street Fighter II Turbo - Revival.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Sword of Mana.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Tak - The Great Juju Challenge.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Tak 2 - The Staff of Dreams.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Tak and the Power of Juju.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Tales of Phantasia.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Teen Titans.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Teen Titans 2.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Tomb Raider - Legend.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Tomb Raider - The Prophecy.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Treasure Planet.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/WarioWare - Twisted!.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/WarioWare, Inc..gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Wild Thornberrys Movie.gba" does not exist! Ignoring.
